Item Name,Qty,Price (total) (USD),Item link,Notes
relay,2,$8.00,https://www.amazon.com/HiLetgo-Channel-optocoupler-Support-Trigger/dp/B00LW15A4W?crid=3OVZVGZUFZ6K0&dib=eyJ2IjoiMSJ9.6CiXZXcyMGg2s9FmvU_NFBwt76TO_A-m9BriW8UbOOVkiz2Y2gfVd4M8j3Z37XGMHlbnwjZwmkdEWqMneRFLDUoNbjT2JqqsBaqVLasytzqwRV6tCCU3wyTmzf4zaSiN2Rc3xL4jabMpr-Y_aAG1_Rz4ennDNs1FlpTV7G0bMVPczs8pluHRZ-bMb55GZKzcYsfYCnT0U4zLSNXFuvVcfwpWGBO_uk8OvjgbzZfVWn8.eO87qRrtEqOg1Os-m5NImeln5vRGN9HgZZdo215cQiI&dib_tag=se&keywords=relay&qid=1787856633&sprefix=relay%2Caps%2C208&sr=8-18&th=1,
arduno,1,$18.00,https://www.amazon.com/AYWHP-ATmega328P-Microcontroller-Compatible-Arduino/dp/B0DFGQW2ZY?crid=2K45QIG1LPKUP&dib=eyJ2IjoiMSJ9.QmNYvO8VeEYJRoPLV8e0zX79je_iMUDtFpo8cFXmxxM8y0wAIrzxj_JhURvv-Ma49bsZKMYmAaWuis-AjL3buCDYa4qhOaZFAt0t0zU9owaHtxRjxB5pPt1qpgjStcnW6LISg2HeMx1mN3WYrIjooSzDwA53iNUaqIqHWXHrVrvSJhuNayB4ocROtk_3x6HL68ifABf--6lclX7l2FTGyz0et-zpxhO9jO8rBnYFCHw.5Wc8vIKFFl_PvbeHmiSBif-ZRSOSUAYVDrjQgLS9bVk&dib_tag=se&keywords=arduino%2Bnano&qid=1787856434&sprefix=arduno%2Bnano%2Caps%2C208&sr=8-4&th=1,
dc-dc boost converter,1,$12.00,https://www.amazon.com/Adjustable-High-Voltage-Electrostatic-Generator-Negative/dp/B0DBT1RTZL?crid=252NH69XQAZEU&dib=eyJ2IjoiMSJ9.bFBIg3FCaFs_iRe2mlygg8FzSCRuC6s3juBfE4ntMZ0TC_Q1Ipci4_-51Q4Y9Xm9LTiESTnFSI9P_nzqyTEhFRdXrQn29TbFUNbCSbkmJIEIRGPrG5P_z05_xuiGmMF4ax57tF4AcRwTj1Q7N7JYfZ1D06NGOtpJoBxSKSueSmQObxa--bGD4Ad3HD7Z_VmbNPaUAdiFFzU65zLW0zJB-5n4zkBLLhabroCHNInwSgE.sAfAJiAezyITC-v80L13zXoRg-a7w5YHki2_eUZjks0&dib_tag=se&keywords=negative+ion+generator+1kv&qid=1787856543&sprefix=negitive+ion+generator+1k%2Caps%2C201&sr=8-7,
button,2,$7.00,https://www.amazon.com/Momentary-Tactile-Through-Breadboard-Friendly/dp/B07WF76VHT?crid=SGDSOBUNNITV&dib=eyJ2IjoiMSJ9.qUPJzNGvbRCxaQVxxlN1cFiOQg1-bqGteLmyewPE7PN9Myob-4Q6Lv8-U9DZbhM9kZy6mFHzaqQ5ziP7unOUmPWtyWzrx8666Ivb9Tjmj618px6dxY_kJBcGaDdapSD-CdNnMBBE_eF4shmMn-rwW2bN1cV2FrrQdc9WhVeJjFt_i6SOoIbSNmAMTRKu_80_55byI3TiJmd09nqe4_PwxobFMgaE03kBShN2hDLHy8Q.ahNby-qLWlhf_MbbygBDSw5Xis26cpq0UYSzhWJcy6A&dib_tag=se&keywords=buttons+breadboard&qid=1787856595&sprefix=buttons+brea%2Caps%2C223&sr=8-4,
5v charging block,1,$9.00,https://www.amazon.com/Charger-Charging-Appliances-Electric-Smartwatch/dp/B0FYC2BKP5?crid=2PNKOS6QUQZ1N&dib=eyJ2IjoiMSJ9.yEAXHPeO92hu1ytArdJH054aGSMgnrpaOZturdIY6f0JH857pV7WrdCmn0VjYU3iD2ze-5TRt6DiU-uYvz5yImi40I0phXHXyyVioFTTb6OONLSpKC-EDfJfcrPnKvQ-BqdnfDWEBw5wMaahk0VOaa_k4xqI5bsd3c80h9ydjsND-EGCLd_-RyWbI7FuX21hnY7mfUHIDg_Nf-jIdcGtRBpPZIctkDfg2fCI60GqIVQ.IRgPvkQKi3Ck3-Vo7J57IGyD-o8d-DbKcW2gkKkyTFM&dib_tag=se&keywords=5v%2Bcharging%2Bblock&qid=1787856668&sprefix=5v%2Bcharging%2Bbloc%2Caps%2C194&sr=8-6&th=1,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$54.00,,,
